id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,add  Default  Custom  Converters,Custom  Mappings  Loader,void,,get  Custom  Converters  find  Converter  get  Custom  Converters  set  Class  A  set  Class  B  set  Type  add  Converter  get  Custom  Converters,Custom  Mappings  Loader,mappings  Parser  class  Map  Builder  bean  Container  By  Reference  Converter,Custom  Mappings  Loader  load  find  Configuration  convert,Configuration,wildcard  wildcard  Case  Insensitive  stop  On  Errors  trim  Strings  map  Null  map  Empty  String  date  Format  bean  Factory  relationship  Type  custom  Converters  copy  By  References  allowed  Exceptions,get  Allowed  Exceptions  get  Custom  Converters  get  Date  Format  set  Date  Format  get  Wildcard  set  Wildcard  get  Wildcard  Case  Insensitive  set  Wildcard  Case  Insensitive  get  Stop  On  Errors  set  Stop  On  Errors  get  Map  Null  set  Map  Null  get  Map  Empty  String  set  Map  Empty  String  get  Bean  Factory  set  Bean  Factory  get  Copy  By  References  get  Trim  Strings  set  Trim  Strings  get  Relationship  Type  set  Relationship  Type  to  String,0,0
1,add  Default  Custom  Converters,Custom  Mappings  Loader,void,,get  Custom  Converters  find  Converter  get  Custom  Converters  set  Class  A  set  Class  B  set  Type  add  Converter  get  Custom  Converters,Configuration,wildcard  wildcard  Case  Insensitive  stop  On  Errors  trim  Strings  map  Null  map  Empty  String  date  Format  bean  Factory  relationship  Type  custom  Converters  copy  By  References  allowed  Exceptions,get  Allowed  Exceptions  get  Custom  Converters  get  Date  Format  set  Date  Format  get  Wildcard  set  Wildcard  get  Wildcard  Case  Insensitive  set  Wildcard  Case  Insensitive  get  Stop  On  Errors  set  Stop  On  Errors  get  Map  Null  set  Map  Null  get  Map  Empty  String  set  Map  Empty  String  get  Bean  Factory  set  Bean  Factory  get  Copy  By  References  get  Trim  Strings  set  Trim  Strings  get  Relationship  Type  set  Relationship  Type  to  String,Custom  Mappings  Loader,mappings  Parser  class  Map  Builder  bean  Container  By  Reference  Converter,Custom  Mappings  Loader  load  find  Configuration  convert,1,1
2,resolve  Field  Map  Type,Class  Map  Dozer  Field  Dozer  Field  Bean  Container  Dest  Bean  Creator  Property  Descriptor  Factory,Field  Map,,is  Map  Type  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  is  Src  Class  Map  Type  Custom  Getter  Setter  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Custom  Getter  Setter  Field  is  Custom  Getter  Setter  Field,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  get  Hint  Container,Dest  Bean  Creator,plugged  Strategies  available  Strategies  construction  Strategies  bean  Container,Dest  Bean  Creator  create  create  create  set  Stored  Factories  add  Plugged  Strategy,0,0
3,resolve  Field  Map  Type,Class  Map  Dozer  Field  Dozer  Field  Bean  Container  Dest  Bean  Creator  Property  Descriptor  Factory,Field  Map,,is  Map  Type  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  is  Src  Class  Map  Type  Custom  Getter  Setter  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Custom  Getter  Setter  Field  is  Custom  Getter  Setter  Field,Dest  Bean  Creator,plugged  Strategies  available  Strategies  construction  Strategies  bean  Container,Dest  Bean  Creator  create  create  create  set  Stored  Factories  add  Plugged  Strategy,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  get  Hint  Container,1,0
4,resolve  Field  Map  Type,Class  Map  Dozer  Field  Dozer  Field  Bean  Container  Dest  Bean  Creator  Property  Descriptor  Factory,Field  Map,,is  Map  Type  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  is  Src  Class  Map  Type  Custom  Getter  Setter  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Custom  Getter  Setter  Field  is  Custom  Getter  Setter  Field,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  get  Hint  Container,Class  Map,global  Configuration  src  Class  dest  Class  field  Maps  allowed  Exceptions  type  date  Format  bean  Factory  map  Null  map  Empty  String  wildcard  wildcard  Case  Insensitive  stop  On  Errors  trim  Strings  custom  Converters  map  Id  relationship  Type,Class  Map  get  Field  Maps  is  Stop  On  Errors  set  Stop  On  Errors  is  Trim  Strings  set  Trim  Strings  get  Allowed  Exceptions  set  Allowed  Exceptions  get  Field  Map  Using  Dest  get  Field  Map  Using  Dest  provide  Alternate  Name  get  Field  Map  Using  Src  set  Field  Maps  add  Field  Mapping  remove  Field  Mapping  is  Wildcard  set  Wildcard  is  Wildcard  Case  Insensitive  set  Wildcard  Case  Insensitive  get  Type  set  Type  get  Date  Format  set  Date  Format  get  Custom  Converters  set  Custom  Converters  get  Src  Class  To  Map  get  Dest  Class  To  Map  is  Dest  Map  Null  is  Src  Map  Null  is  Dest  Map  Empty  String  is  Src  Map  Empty  String  get  Dest  Class  Bean  Factory  get  Src  Class  Bean  Factory  get  Dest  Class  Bean  Factory  Id  get  Src  Class  Bean  Factory  Id  get  Src  Class  Map  Get  Method  get  Src  Class  Map  Set  Method  get  Dest  Class  Map  Get  Method  get  Dest  Class  Map  Set  Method  get  Dest  Class  Create  Method  get  Src  Class  Create  Method  set  Src  Class  Create  Method  set  Dest  Class  Create  Method  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Src  Class  Map  Type  Custom  Getter  Setter  set  Src  Class  set  Dest  Class  get  Dest  Class  Name  get  Src  Class  Name  get  Bean  Factory  set  Bean  Factory  get  Map  Id  set  Map  Id  set  Map  Null  set  Map  Empty  String  get  Global  Configuration  set  Global  Configuration  get  Relationship  Type  set  Relationship  Type  get  Src  Class  get  Dest  Class  to  String  dest  Class  Is  Accessible,0,0
5,resolve  Field  Map  Type,Class  Map  Dozer  Field  Dozer  Field  Bean  Container  Dest  Bean  Creator  Property  Descriptor  Factory,Field  Map,,is  Map  Type  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  is  Src  Class  Map  Type  Custom  Getter  Setter  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Custom  Getter  Setter  Field  is  Custom  Getter  Setter  Field,Class  Map,global  Configuration  src  Class  dest  Class  field  Maps  allowed  Exceptions  type  date  Format  bean  Factory  map  Null  map  Empty  String  wildcard  wildcard  Case  Insensitive  stop  On  Errors  trim  Strings  custom  Converters  map  Id  relationship  Type,Class  Map  get  Field  Maps  is  Stop  On  Errors  set  Stop  On  Errors  is  Trim  Strings  set  Trim  Strings  get  Allowed  Exceptions  set  Allowed  Exceptions  get  Field  Map  Using  Dest  get  Field  Map  Using  Dest  provide  Alternate  Name  get  Field  Map  Using  Src  set  Field  Maps  add  Field  Mapping  remove  Field  Mapping  is  Wildcard  set  Wildcard  is  Wildcard  Case  Insensitive  set  Wildcard  Case  Insensitive  get  Type  set  Type  get  Date  Format  set  Date  Format  get  Custom  Converters  set  Custom  Converters  get  Src  Class  To  Map  get  Dest  Class  To  Map  is  Dest  Map  Null  is  Src  Map  Null  is  Dest  Map  Empty  String  is  Src  Map  Empty  String  get  Dest  Class  Bean  Factory  get  Src  Class  Bean  Factory  get  Dest  Class  Bean  Factory  Id  get  Src  Class  Bean  Factory  Id  get  Src  Class  Map  Get  Method  get  Src  Class  Map  Set  Method  get  Dest  Class  Map  Get  Method  get  Dest  Class  Map  Set  Method  get  Dest  Class  Create  Method  get  Src  Class  Create  Method  set  Src  Class  Create  Method  set  Dest  Class  Create  Method  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Src  Class  Map  Type  Custom  Getter  Setter  set  Src  Class  set  Dest  Class  get  Dest  Class  Name  get  Src  Class  Name  get  Bean  Factory  set  Bean  Factory  get  Map  Id  set  Map  Id  set  Map  Null  set  Map  Empty  String  get  Global  Configuration  set  Global  Configuration  get  Relationship  Type  set  Relationship  Type  get  Src  Class  get  Dest  Class  to  String  dest  Class  Is  Accessible,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  get  Hint  Container,1,0
6,resolve  Field  Map  Type,Class  Map  Dozer  Field  Dozer  Field  Bean  Container  Dest  Bean  Creator  Property  Descriptor  Factory,Field  Map,,is  Map  Type  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  is  Src  Class  Map  Type  Custom  Getter  Setter  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Custom  Getter  Setter  Field  is  Custom  Getter  Setter  Field,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  get  Hint  Container,Dozer  Field,type  name  date  Format  the  Get  Method  the  Set  Method  key  map  Set  Method  map  Get  Method  accessible  create  Method  indexed  index,Dozer  Field  set  Type  get  Type  get  Name  get  Date  Format  set  Date  Format  get  The  Get  Method  set  The  Get  Method  get  The  Set  Method  set  The  Set  Method  get  Key  set  Key  get  Map  Get  Method  set  Map  Get  Method  get  Map  Set  Method  set  Map  Set  Method  is  Accessible  set  Accessible  get  Create  Method  set  Create  Method  get  Index  set  Index  is  Indexed  set  Indexed  set  Name  is  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  to  String  clone  determine  Access,0,0
7,resolve  Field  Map  Type,Class  Map  Dozer  Field  Dozer  Field  Bean  Container  Dest  Bean  Creator  Property  Descriptor  Factory,Field  Map,,is  Map  Type  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  is  Src  Class  Map  Type  Custom  Getter  Setter  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Custom  Getter  Setter  Field  is  Custom  Getter  Setter  Field,Dozer  Field,type  name  date  Format  the  Get  Method  the  Set  Method  key  map  Set  Method  map  Get  Method  accessible  create  Method  indexed  index,Dozer  Field  set  Type  get  Type  get  Name  get  Date  Format  set  Date  Format  get  The  Get  Method  set  The  Get  Method  get  The  Set  Method  set  The  Set  Method  get  Key  set  Key  get  Map  Get  Method  set  Map  Get  Method  get  Map  Set  Method  set  Map  Set  Method  is  Accessible  set  Accessible  get  Create  Method  set  Create  Method  get  Index  set  Index  is  Indexed  set  Indexed  set  Name  is  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  to  String  clone  determine  Access,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  get  Hint  Container,1,0
8,resolve  Field  Map  Type,Class  Map  Dozer  Field  Dozer  Field  Bean  Container  Dest  Bean  Creator  Property  Descriptor  Factory,Field  Map,,is  Map  Type  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  is  Src  Class  Map  Type  Custom  Getter  Setter  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Custom  Getter  Setter  Field  is  Custom  Getter  Setter  Field,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  get  Hint  Container,Property  Descriptor  Factory,plugged  Descriptor  Creation  Strategies,Property  Descriptor  Factory  get  Property  Descriptor  add  Plugged  Property  Descriptor  Creation  Strategies,0,0
9,resolve  Field  Map  Type,Class  Map  Dozer  Field  Dozer  Field  Bean  Container  Dest  Bean  Creator  Property  Descriptor  Factory,Field  Map,,is  Map  Type  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  is  Src  Class  Map  Type  Custom  Getter  Setter  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Custom  Getter  Setter  Field  is  Custom  Getter  Setter  Field,Property  Descriptor  Factory,plugged  Descriptor  Creation  Strategies,Property  Descriptor  Factory  get  Property  Descriptor  add  Plugged  Property  Descriptor  Creation  Strategies,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  get  Hint  Container,1,0
10,resolve  Field  Map  Type,Class  Map  Dozer  Field  Dozer  Field  Bean  Container  Dest  Bean  Creator  Property  Descriptor  Factory,Field  Map,,is  Map  Type  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  is  Src  Class  Map  Type  Custom  Getter  Setter  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Custom  Getter  Setter  Field  is  Custom  Getter  Setter  Field,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  get  Hint  Container,Bean  Container,class  Loader  tccl  proxy  Resolver  element  Reader  el  Engine,get  Class  Loader  get  T  C  C  L  set  Class  Loader  get  Proxy  Resolver  set  Proxy  Resolver  get  Element  Reader  set  Element  Reader  get  El  Engine  set  El  Engine,0,0
11,resolve  Field  Map  Type,Class  Map  Dozer  Field  Dozer  Field  Bean  Container  Dest  Bean  Creator  Property  Descriptor  Factory,Field  Map,,is  Map  Type  Custom  Getter  Setter  Field  is  Map  Type  Custom  Getter  Setter  Field  is  Src  Class  Map  Type  Custom  Getter  Setter  is  Dest  Class  Map  Type  Custom  Getter  Setter  is  Custom  Getter  Setter  Field  is  Custom  Getter  Setter  Field,Bean  Container,class  Loader  tccl  proxy  Resolver  element  Reader  el  Engine,get  Class  Loader  get  T  C  C  L  set  Class  Loader  get  Proxy  Resolver  set  Proxy  Resolver  get  Element  Reader  set  Element  Reader  get  El  Engine  set  El  Engine,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  get  Hint  Container,1,0
12,get  Hint  Container,String  Bean  Container,Hint  Container,,is  Empty  set  Hint  Name,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  resolve  Field  Map  Type,Bean  Container,class  Loader  tccl  proxy  Resolver  element  Reader  el  Engine,get  Class  Loader  get  T  C  C  L  set  Class  Loader  get  Proxy  Resolver  set  Proxy  Resolver  get  Element  Reader  set  Element  Reader  get  El  Engine  set  El  Engine,0,0
13,get  Hint  Container,String  Bean  Container,Hint  Container,,is  Empty  set  Hint  Name,Bean  Container,class  Loader  tccl  proxy  Resolver  element  Reader  el  Engine,get  Class  Loader  get  T  C  C  L  set  Class  Loader  get  Proxy  Resolver  set  Proxy  Resolver  get  Element  Reader  set  Element  Reader  get  El  Engine  set  El  Engine,Field  Definition,parent  Mapping  Definition  parent  Field  Exclude  a  b  a  Hint  b  Hint  a  Deep  Index  Hint  b  Deep  Index  Hint  relationship  Type  remove  Orphans  type  map  Id  copy  By  Reference  custom  Converter  custom  Converter  Id  custom  Converter  Param,Field  Definition  Field  Definition  with  A  with  B  with  A  Hint  with  B  Hint  with  A  Deep  Index  Hint  with  B  Deep  Index  Hint  with  Remove  Orphans  with  Type  with  Map  Id  with  Copy  By  Reference  with  Custom  Converter  with  Custom  Converter  Id  with  Custom  Converter  Param  end  build  resolve  Field  Map  Type,1,0
